"CountyName","GEOID","COUNTYNS","WHP_Score","County","State","DroughtRisk_Score"
"Roberts","48393","01383982",63.3,"Roberts County","TX",0
"El Dorado","06017","00277273",69,"El Dorado County","CA",0
"Hemphill","48211","01383891",60.8,"Hemphill County","TX",0.0567
"Richmond","37153","01008581",56.9,"Richmond County","NC",0.1
"Idaho","16049","00395699",68.6,"Idaho County","ID",0.119460916442049
"Perry","28111","00695778",59.5,"Perry County","MS",0.216459524597136
"Hancock","13141","00348209",58.1,"Hancock County","GA",0.09415
"Josephine","41033","01155133",70.1,"Josephine County","OR",0.103686598606385
"Nevada","06057","01682927",67.3,"Nevada County","CA",0
"Sierra","06091","00277310",72,"Sierra County","CA",0
"Gila","04007","00040471",66.4,"Gila County","AZ",0.312598069286153
"Talbot","13263","00326757",57.6,"Talbot County","GA",0.1
"Jones","13169","00345367",57.9,"Jones County","GA",0.1
"Schley","13249","00344129",57,"Schley County","GA",0.1
"Jefferson Davis","28065","00695756",59.6,"Jefferson Davis County","MS",0.3
"Marion","13197","00344107",57.7,"Marion County","GA",0.1
"Marion","28091","00695769",58.7,"Marion County","MS",0.266509709304588
"Lincoln","30053","01720038",64.6,"Lincoln County","MT",0.218824687192465
"Warren","13301","00347777",56.9,"Warren County","GA",0.03857
"Stone","28131","00695786",57.8,"Stone County","MS",0.2
"Lawrence","28077","00695762",58.4,"Lawrence County","MS",0.3
"Glascock","13125","00345642",56.4,"Glascock County","GA",0
"Missoula","30063","01719596",63,"Missoula County","MT",0.186383002897233
"Hoke","37093","01008563",53,"Hoke County","NC",0.1
"Wilkinson","13319","00346824",56.1,"Wilkinson County","GA",0.0528
"Teller","08119","00198175",65.4,"Teller County","CO",0
"Twiggs","13289","00345456",55.5,"Twiggs County","GA",0.0726
"Gem","16045","00395442",59.2,"Gem County","ID",0
"Lamar","28073","00695760",56.2,"Lamar County","MS",0.243249604176473
"Crawford","13079","00342918",56.7,"Crawford County","GA",0.1
"Ferry","53019","01531821",63.6,"Ferry County","WA",0.00886
"Jackson","41029","01135853",64.1,"Jackson County","OR",0.141923732754612
"Placer","06061","00277295",59.6,"Placer County","CA",0
"Moore","37125","01008573",54.1,"Moore County","NC",0.1
"Forrest","28035","00695742",54,"Forrest County","MS",0.243732114637167
"Washington","13303","00348428",54.5,"Washington County","GA",0.01934
"Wheeler","13309","00351278",54.1,"Wheeler County","GA",0
"Pearl River","28109","00695777",56.7,"Pearl River County","MS",0.199994999749987
"Treutlen","13283","00347505",53,"Treutlen County","GA",0
"George","28039","00695744",55.5,"George County","MS",0.188882715706428
"Clearwater","16035","00395697",64.1,"Clearwater County","ID",0.219599962613328
"St. Helena","22091","01629457",56.7,"Saint Helena Parish","LA",0.291180872167891
"Calaveras","06009","01675885",64.9,"Calaveras County","CA",0
"Jefferson","08059","00198145",57.9,"Jefferson County","CO",0
"Lincoln","28085","00695766",57.2,"Lincoln County","MS",0.309870281868721
"Shasta","06089","01682610",62.6,"Shasta County","CA",0
"Grant","41023","01135851",64.2,"Grant County","OR",0.00396
"Scotland","37165","01008585",52.4,"Scotland County","NC",0.1
"Mineral","30061","01720030",63.5,"Mineral County","MT",0.268946395563771
"Plumas","06063","00277296",65.5,"Plumas County","CA",0
"McDuffie","13189","00348794",54.3,"McDuffie County","GA",0.04302
"Bradford","12007","00303634",54.5,"Bradford County","FL",0
"Lipscomb","48295","01383933",53.6,"Lipscomb County","TX",2e-05
"Gilpin","08047","00198139",57,"Gilpin County","CO",0.02269
"Hutchinson","48233","01383902",49.8,"Hutchinson County","TX",0.02370719262094
"Monroe","13207","00343073",54.1,"Monroe County","GA",0.1
"Wheeler","48483","01384027",52.8,"Wheeler County","TX",0.0475061973227566
"Baldwin","13009","00345255",52.9,"Baldwin County","GA",0.1
"Trinity","06105","00277317",63.9,"Trinity County","CA",0.00027
"Jasper","13159","00346144",53.1,"Jasper County","GA",0.106781953434451
"Kershaw","45055","01248007",53.2,"Kershaw County","SC",0.07954
"Covington","28031","00695740",55.8,"Covington County","MS",0.3
"Ada","16001","00395066",50.3,"Ada County","ID",0
"Washington","22117","00559557",54.9,"Washington Parish","LA",0.2
"Taylor","13269","00344156",54,"Taylor County","GA",0.1
"Leake","28079","00695763",55.2,"Leake County","MS",0.482594177188772
"Williamsburg","45089","01248018",52.4,"Williamsburg County","SC",0.0013
"Aiken","45003","01247979",52.7,"Aiken County","SC",0
"Anson","37007","01008534",50.7,"Anson County","NC",0.153982623932248
"Pike","28113","00711758",55.6,"Pike County","MS",0.287633171698581
"Bladen","37017","01026336",49.7,"Bladen County","NC",0.01747
"Laurens","13175","00346568",52.5,"Laurens County","GA",0
"Jones","28067","00695757",54,"Jones County","MS",0.3
"Walthall","28147","00695794",56.7,"Walthall County","MS",0.249634884206134
"Berkeley","45015","01247985",49.8,"Berkeley County","SC",0
"Adams","16003","00395067",60.6,"Adams County","ID",0.00308
"Dodge","13091","00348116",50.3,"Dodge County","GA",0
"Amador","06005","01675841",61.3,"Amador County","CA",0
"Chesterfield","45025","01247989",52.4,"Chesterfield County","SC",0.1
"Douglas","32005","00858643",57.9,"Douglas County","NV",0
"Comanche","20033","00484986",51.6,"Comanche County","KS",0.08363
"Johnson","13167","00346664",52.1,"Johnson County","GA",0
"Gray","48179","01383875",48.1,"Gray County","TX",0.01786
"Colleton","45029","01247991",50.9,"Colleton County","SC",0
"Montgomery","13209","00352276",50.3,"Montgomery County","GA",0
"Union","12125","00306913",53.3,"Union County","FL",0
"Clay","12019","00295726",50.4,"Clay County","FL",0
"Alachua","12001","00308548",51.2,"Alachua County","FL",0
"Ravalli","30081","01719582",60.1,"Ravalli County","MT",0.117800856335975
"Montgomery","37123","01008572",51.9,"Montgomery County","NC",0.1
"Brantley","13025","00351605",52.5,"Brantley County","GA",0
"Carson City","32510","00863219",54.6,"Carson City","NV",0
"San Benito","06069","00277299",63.8,"San Benito County","CA",0
"Attala","28007","00695728",53.7,"Attala County","MS",0.449478521388507
"Putnam","12107","00306910",48.5,"Putnam County","FL",0
"Hampton","45049","01248004",49.4,"Hampton County","SC",0
"Telfair","13271","00356958",50.4,"Telfair County","GA",0
"Greenwood","20073","00485003",50.5,"Greenwood County","KS",0.100319488817891
"Columbia","13073","00348865",47.6,"Columbia County","GA",0.08798
"Bamberg","45009","01247982",48.2,"Bamberg County","SC",0
"Union","41061","01164165",55.3,"Union County","OR",0.06938
"Yakima","53077","01531929",56,"Yakima County","WA",0.069727824554533
"Archuleta","08007","00198119",56.9,"Archuleta County","CO",0.296118884690021
"Emanuel","13107","00347508",49.6,"Emanuel County","GA",0
"Lee","37105","01008567",49.2,"Lee County","NC",0.05554
"Tehama","06103","01692767",61.6,"Tehama County","CA",0
"Pender","37141","01026129",49.2,"Pender County","NC",0.04736
"Jasper","45053","01248006",50.2,"Jasper County","SC",0
"Broward","12011","00295753",51.6,"Broward County","FL",0
"Upson","13293","00346759",52.5,"Upson County","GA",0.1
"Meriwether","13199","00346892",50.9,"Meriwether County","GA",0.101508535132989
"Okanogan","53047","01531928",57.3,"Okanogan County","WA",0.0449296955023745
"Greene","28041","00695745",55.3,"Greene County","MS",0.2
"Chelan","53007","01531932",55,"Chelan County","WA",0.145516405039413
"Hancock","28045","00711756",47.7,"Hancock County","MS",0.135228208930631
"Storey","32029","00858642",59.9,"Storey County","NV",0
"Marion","12083","00306922",51.1,"Marion County","FL",0
"Iron","49021","01448025",58.4,"Iron County","UT",0
"Atlantic","34001","00882270",44.2,"Atlantic County","NJ",0
"Mariposa","06043","00277286",60.9,"Mariposa County","CA",0
"Lassen","06035","01693324",58.9,"Lassen County","CA",0
"Kittitas","53037","01531926",57.6,"Kittitas County","WA",0.100588037634409
"Flagler","12035","00308547",47.5,"Flagler County","FL",0
"Amite","28005","00695727",55.4,"Amite County","MS",0.312565783101411
"Miami-Dade","12086","00295755",51.4,"Miami-Dade County","FL",0
"Wheeler","41069","01135865",57.4,"Wheeler County","OR",0.102832633366098
"Jeff Davis","13161","01687999",45.6,"Jeff Davis County","GA",0
"Ben Hill","13017","00351606",45.7,"Ben Hill County","GA",0
"Klickitat","53039","01529219",54,"Klickitat County","WA",0.123428934615079
"Lake","06033","00277281",57.2,"Lake County","CA",0
"Butts","13035","00352295",50.4,"Butts County","GA",0.137424808974151
"Jefferson","41031","01155132",55.6,"Jefferson County","OR",0.258599991888713
"Beauregard","22011","00558436",50,"Beauregard Parish","LA",0.439085545722714
"Long","13183","00326719",50.2,"Long County","GA",0
"Dorchester","45035","01247998",46.7,"Dorchester County","SC",0
"Valley","16085","00399756",56.7,"Valley County","ID",0.0633
"Stevens","53065","01531930",55,"Stevens County","WA",0.128769615647032
"Washington","49053","01448040",59.3,"Washington County","UT",0.01512
"Cassia","16031","00395698",50.5,"Cassia County","ID",0
"Bryan","13029","00350496",48.7,"Bryan County","GA",0
"Beaver","49001","01448015",56.6,"Beaver County","UT",0
"Napa","06055","00277292",49,"Napa County","CA",0
"Burlington","34005","00882272",47.2,"Burlington County","NJ",0
"Atkinson","13003","00345784",45.6,"Atkinson County","GA",0
"Elko","32007","00857664",57.4,"Elko County","NV",0
"Wayne","13305","00350608",47.9,"Wayne County","GA",0
"Harnett","37085","01008560",44.2,"Harnett County","NC",0.00348
"Oneida","16071","00399759",50.9,"Oneida County","ID",0
"Cleburne","01029","00161540",50.4,"Cleburne County","AL",0.300120140163524
"Wasco","41065","01155136",55.7,"Wasco County","OR",0.269626368488721
"Toombs","13279","00345220",46.5,"Toombs County","GA",0
"Sequatchie","47153","01652643",49,"Sequatchie County","TN",0.317510029329468
"Jefferson","13163","00345714",45.6,"Jefferson County","GA",0
"Appling","13001","00349113",44.9,"Appling County","GA",0
"Deschutes","41017","01155130",52.1,"Deschutes County","OR",0.178026468256388
"Douglas","08035","00198133",58,"Douglas County","CO",0
"Bacon","13005","00344784",45.5,"Bacon County","GA",0
"Calhoun","45017","01247986",42.9,"Calhoun County","SC",0
"Boulder","08013","00198122",52.4,"Boulder County","CO",0.01803
"Tuolumne","06109","00277319",54,"Tuolumne County","CA",0
"Cass","48067","01383819",51.8,"Cass County","TX",0.01198
"Wilcox","13315","00345499",43.6,"Wilcox County","GA",0
"Lowndes","13185","00326720",45.6,"Lowndes County","GA",0
"Bannock","16005","00395091",48.3,"Bannock County","ID",0
"Santa Rosa","12113","00306914",43,"Santa Rosa County","FL",0.07141
"Newton","48351","01383961",51.2,"Newton County","TX",0.480580895459788
"La Plata","08067","00198148",53.5,"La Plata County","CO",0.232715609408411
"San Diego","06073","00277301",47.3,"San Diego County","CA",0
"Cumberland","37051","01026124",41.7,"Cumberland County","NC",0.0553
"Power","16077","00394951",44.3,"Power County","ID",0
"Marlboro","45069","01248011",44.1,"Marlboro County","SC",0.1
"Eureka","32011","00858640",53.1,"Eureka County","NV",0
"Yuba","06115","00277322",53,"Yuba County","CA",0
"Liberty","13179","00357095",44.6,"Liberty County","GA",0
"Shoshone","16079","01702379",59.2,"Shoshone County","ID",0.296147181734787
"Butte","06007","01675842",52.9,"Butte County","CA",0
"Richland","45079","01249299",43.7,"Richland County","SC",0.0133
"Brunswick","37019","01026340",43.3,"Brunswick County","NC",0
"Lincoln","16063","00395624",50.1,"Lincoln County","ID",0
"Barnwell","45011","01247983",48,"Barnwell County","SC",0
"Georgetown","45043","01248002",43,"Georgetown County","SC",0
"Volusia","12127","00306921",41.8,"Volusia County","FL",0
"Elmore","16039","00400252",50.3,"Elmore County","ID",0
"Haralson","13143","00350637",48.7,"Haralson County","GA",0.290422299067379
"Orangeburg","45075","01248014",42.4,"Orangeburg County","SC",0
"Roosevelt","35041","01702369",43.7,"Roosevelt County","NM",0.274980860511407
"Putnam","13237","00347246",46.3,"Putnam County","GA",0.1
"Elk","20049","00484994",50.7,"Elk County","KS",0.217260163421769
"Dade","13083","00347465",48.9,"Dade County","GA",0.299993333111104
"Macon","13193","00346957",42.1,"Macon County","GA",0.1
"Polk","13233","00343585",48.7,"Polk County","GA",0.3
"Escambia","01053","00161552",48.5,"Escambia County","AL",0.1
"Lexington","45063","01244251",43.1,"Lexington County","SC",0.00116
"Motley","48345","01383958",52.6,"Motley County","TX",0
"Evans","13109","00345923",44.8,"Evans County","GA",0
"Sanders","30089","01719578",55.1,"Sanders County","MT",0.282514136581122
"Granite","30039","01719605",56.1,"Granite County","MT",0.198089171974522
"St. Tammany","22103","01629503",40.1,"Saint Tammany Parish","LA",0.198549254337019
"Jasper","48241","01383906",48.2,"Jasper County","TX",0.466753077006862
"Baker","12003","00306920",47.5,"Baker County","FL",0
"Effingham","13103","00350219",46,"Effingham County","GA",0
"Columbus","37047","01026339",42.3,"Columbus County","NC",0.0057
"Lamar","13171","00326713",49.6,"Lamar County","GA",0.1
"Floyd","13115","00353665",47,"Floyd County","GA",0.310263072426112
"Briscoe","48045","01383808",49.6,"Briscoe County","TX",0.01932
"Fremont","08043","00198137",53,"Fremont County","CO",0.0109856364536899
"Sumter","13261","00343504",39.7,"Sumter County","GA",0.05859
"Flathead","30029","01719611",52.2,"Flathead County","MT",0.212904923680559
"Alpine","06003","01675840",53.1,"Alpine County","CA",0
"Pierce","13229","00349086",43.1,"Pierce County","GA",0
"Richmond","13245","00358024",42.2,"Richmond County","GA",0
"Pushmataha","40127","01101851",48.5,"Pushmataha County","OK",0.16772476340694
"Boise","16015","00395157",53.3,"Boise County","ID",0
"Santa Clara","06085","00277307",47.7,"Santa Clara County","CA",0
"Coffee","13069","00347456",41.5,"Coffee County","GA",0
"Lanier","13173","00348102",43.4,"Lanier County","GA",0
"Thomas","13275","00343835",42.9,"Thomas County","GA",0
"Decatur","13087","00352234",39.2,"Decatur County","GA",0
"Grady","13131","00351261",42.4,"Grady County","GA",0
"McIntosh","13191","00356886",42.9,"McIntosh County","GA",0
"Mobile","01097","00161575",38.5,"Mobile County","AL",0.069606448553817
"Randall","48381","01383976",40.7,"Randall County","TX",0.200769152919745
"Coweta","13077","00326666",43.1,"Coweta County","GA",0.166551010876093
"Florence","45041","01248001",44.1,"Florence County","SC",0.08229
"Cameron","22023","00558488",40.6,"Cameron Parish","LA",0.3
"Marion","48315","01383940",47.6,"Marion County","TX",0.0714740718622475
"Jackson","28059","00695753",37.2,"Jackson County","MS",0.0680819136728749
"Lee","45061","01245652",41.3,"Lee County","SC",0.1
"Washington","16087","00399757",48.7,"Washington County","ID",0
"Chattooga","13055","00352213",47.9,"Chattooga County","GA",0.3
"Gooding","16047","00395441",42.5,"Gooding County","ID",0
"Curry","41015","01155129",48.2,"Curry County","OR",0.00421
"Tattnall","13267","00347445",44.2,"Tattnall County","GA",0
"Clay","01027","00161539",45.4,"Clay County","AL",0.278021978021978
"Sussex","34037","00882236",44.9,"Sussex County","NJ",0
"Screven","13251","00350204",42.5,"Screven County","GA",0
"Monterey","06053","00277291",46.7,"Monterey County","CA",0
"Bleckley","13023","00347451",41.5,"Bleckley County","GA",0
"Burke","13033","00347944",42.1,"Burke County","GA",0
"Putnam","36079","00974138",42,"Putnam County","NY",0
"Hood River","41027","01155131",56.8,"Hood River County","OR",0.110623993939968
"Prentiss","28117","00695779",43.6,"Prentiss County","MS",0.428390869647236
"Levy","12075","00295724",41.4,"Levy County","FL",0
"Clarendon","45027","01247990",39.4,"Clarendon County","SC",0.01333
"Tishomingo","28141","00695791",43.1,"Tishomingo County","MS",0.4
"Houston","13153","01671693",41.5,"Houston County","GA",0.07717
"Wabaunsee","20197","00485059",42.8,"Wabaunsee County","KS",0.140810949279075
"Catron","35003","00929108",47.6,"Catron County","NM",0.303425706726083
"Berrien","13019","00326638",39.4,"Berrien County","GA",0
"McCurtain","40089","01101835",49.1,"McCurtain County","OK",0.01289
"Talladega","01121","00161586",43.8,"Talladega County","AL",0.383761134243399
"Worth","13321","00343365",37.7,"Worth County","GA",0
"Sumter","45085","01244717",41.7,"Sumter County","SC",0.08233
"Del Norte","06015","01682074",51.2,"Del Norte County","CA",0
"Hamilton","12047","00295736",45,"Hamilton County","FL",0
"Daggett","49009","01448019",51.1,"Daggett County","UT",0.01144
"Jenkins","13165","00342985",41.5,"Jenkins County","GA",0
"Walker","13295","00354216",48,"Walker County","GA",0.29885346474907
"Suwannee","12121","00295729",45.3,"Suwannee County","FL",0
"Allen","22003","00558397",43.5,"Allen Parish","LA",0.415362993118154
"Santa Cruz","04023","00040472",51.9,"Santa Cruz County","AZ",0.395748079409751
"Siskiyou","06093","00277311",55.1,"Siskiyou County","CA",0.04569
"Charlotte","12015","00295742",43.7,"Charlotte County","FL",0.0325841612809878
"Fairbanks North Star","02090","01419969",52.7,"Fairbanks North Star Borough","AK",0
"Wallowa","41063","01155135",47.5,"Wallowa County","OR",0.08681
"Tangipahoa","22105","00559500",44,"Tangipahoa Parish","LA",0.208963911525029
"Cherokee","01019","00161535",41.1,"Cherokee County","AL",0.382430465504009
"Gilchrist","12041","00303633",42.8,"Gilchrist County","FL",0
"Bartow","13015","00351604",44.9,"Bartow County","GA",0.299986665777718
"Candler","13043","00342852",41.5,"Candler County","GA",0
"Rio Blanco","08103","00198167",50.1,"Rio Blanco County","CO",0.0895356955838715
"Pike","13231","00346482",48.9,"Pike County","GA",0.1
"Ocean","34029","00882279",35,"Ocean County","NJ",0
"Brooks","13027","00345518",39.2,"Brooks County","GA",0
"Chatham","37037","01008544",43.2,"Chatham County","NC",0.0887
"Baldwin","01003","00161527",35.9,"Baldwin County","AL",0.03099
"Camden","13039","01671316",41.4,"Camden County","GA",0
"Lander","32015","00863368",49.4,"Lander County","NV",0
"Payette","16075","00394896",40.5,"Payette County","ID",0
"Columbia","12023","00306909",45.4,"Columbia County","FL",0
"Utah","49049","01448038",47.5,"Utah County","UT",0
"Newton","13217","01673547",41.1,"Newton County","GA",0.199244332493703
"Spalding","13255","00353055",44.7,"Spalding County","GA",0.17213093791957
"Orange","36071","00974134",43.8,"Orange County","NY",0
"Grundy","47061","01639748",42.4,"Grundy County","TN",0.397839552802538
"Tippah","28139","00695790",40.7,"Tippah County","MS",0.448022598870057
"Glades","12043","00295743",46.5,"Glades County","FL",0
"Potter","48375","01383973",50.7,"Potter County","TX",0.24330122029544
"Carson","48065","01383818",34.7,"Carson County","TX",0.164453504173947
"Montezuma","08083","00198157",46.9,"Montezuma County","CO",0.204826093373346
"Pulaski","13235","00347593",37.2,"Pulaski County","GA",0
"Ware","13299","00357722",41.4,"Ware County","GA",0
"Chase","20017","00484978",45.7,"Chase County","KS",0.194291754756871
"Calhoun","01015","00161533",41.3,"Calhoun County","AL",0.384724922494877
"Bailey","48017","01383794",33.3,"Bailey County","TX",0.195932010157019
"Twin Falls","16083","00399334",42.9,"Twin Falls County","ID",0
"Nassau","12089","00295730",43.8,"Nassau County","FL",0
"Bibb","13021","01672039",39.5,"Bibb County","GA",0.1
"Glynn","13127","01671513",37.9,"Glynn County","GA",0
"Adair","40001","01101788",49.4,"Adair County","OK",0
"Alcorn","28003","00711755",42.8,"Alcorn County","MS",0.4
"Paulding","13223","00349912",42.1,"Paulding County","GA",0.246386000507228
"Darlington","45031","01247992",40.8,"Darlington County","SC",0.1
"Greenlee","04011","00042807",44.6,"Greenlee County","AZ",0.332578077158604
"Peach","13225","00343153",42,"Peach County","GA",0.1
"Webster","13307","00352287",43.1,"Webster County","GA",0.1
"Echols","13101","00348092",45.6,"Echols County","GA",0
"Edgefield","45037","01247999",49.9,"Edgefield County","SC",0.06657
"Polk","12105","00295747",44.5,"Polk County","FL",3e-04
"Heard","13149","00347067",44.6,"Heard County","GA",0.2
"Liberty","12077","00308549",48.2,"Liberty County","FL",0
"Oglala Lakota","46102","01266992",46.6,"Oglala Lakota County","SD",0
"Lee","13177","00343390",36.5,"Lee County","GA",0.00243
"Carroll","13045","00326650",44.2,"Carroll County","GA",0.213945172824791
"Santa Barbara","06083","00277306",39.8,"Santa Barbara County","CA",0
"Los Alamos","35028","01702366",48.2,"Los Alamos County","NM",0.4
"Wayne","28153","00695797",49.7,"Wayne County","MS",0.274698659457024
"Turner","13287","00343238",36.3,"Turner County","GA",0
"Collier","12021","00295754",43,"Collier County","FL",0.00572
"Clear Creek","08019","00198125",45.3,"Clear Creek County","CO",0.05044
"Latah","16057","00395613",41.3,"Latah County","ID",0.194670318095639
"Passaic","34031","00882232",35.2,"Passaic County","NJ",0
"Baker","13007","00342832",35.6,"Baker County","GA",0
"Dillon","45033","01247993",38.1,"Dillon County","SC",0.1
"Whitfield","13313","00353513",43.2,"Whitfield County","GA",0.3
"Moore","48341","01383956",34.7,"Moore County","TX",0.0764243433222346
"Camden","34007","00882273",32.2,"Camden County","NJ",0
"Ventura","06111","00277320",41,"Ventura County","CA",0
"Gordon","13129","00356672",45.1,"Gordon County","GA",0.3
"Harrison","48203","01383887",46.9,"Harrison County","TX",0.169226767249789
"White Pine","32033","00858615",42.4,"White Pine County","NV",0
"Westchester","36119","00974157",33.5,"Westchester County","NY",0
"Dougherty","13095","00351259",38.6,"Dougherty County","GA",0
"Bulloch","13031","00350302",37.6,"Bulloch County","GA",0
"Vernon","22115","00559548",48.2,"Vernon Parish","LA",0.5
"Washington","01129","00161590",49.9,"Washington County","AL",0.141395717684377
"Irwin","13155","00352302",35,"Irwin County","GA",0
"Lincoln","32017","00863992",42.7,"Lincoln County","NV",0.016387595363123
"Madison","12079","00295731",42.6,"Madison County","FL",0
"Latimer","40077","01101826",47.3,"Latimer County","OK",0.00128
"Rockland","36087","00974142",34.6,"Rockland County","NY",0
"Wakulla","12129","00306912",43,"Wakulla County","FL",0
"Charlton","13049","00357747",42.6,"Charlton County","GA",0
"Robeson","37155","01026130",33.5,"Robeson County","NC",0.1
"Citrus","12017","00295752",34.6,"Citrus County","FL",0
"Taos","35055","00933056",41.7,"Taos County","NM",0.330899118752696
"Morgan","49029","01448028",46.8,"Morgan County","UT",0
"Humboldt","06023","01681908",46.9,"Humboldt County","CA",0
"Colquitt","13071","00343936",34.2,"Colquitt County","GA",0
"Donley","48129","01383850",48.9,"Donley County","TX",0.03719
"Lafayette","12067","00295732",45.3,"Lafayette County","FL",0
"Todd","46121","01266989",50.1,"Todd County","SD",0
"Marion","45067","01248010",40.7,"Marion County","SC",0.08231
"Madera","06039","00277284",47.9,"Madera County","CA",0
"Rio Arriba","35039","01702368",48.1,"Rio Arriba County","NM",0.393149564016672
"Burke","37023","01008539",42.6,"Burke County","NC",0.2
"Lancaster","45057","01248008",43.9,"Lancaster County","SC",0.1
"Juab","49023","01455158",39.7,"Juab County","UT",0
"Cherokee","13057","01685718",38.8,"Cherokee County","GA",0.225450718403954
"Chilton","01021","00161536",45.2,"Chilton County","AL",0.261099975948048
"Schenectady","36093","00974144",40.6,"Schenectady County","NY",0
"Armstrong","48011","01383791",43.4,"Armstrong County","TX",0.161017746706104
"Baker","41001","01135845",48.1,"Baker County","OR",0.00029
"Albany","36001","00974099",40,"Albany County","NY",0
"Rusk","48401","01383986",48.5,"Rusk County","TX",0.237632996190726
"Colfax","35007","00929117",47.5,"Colfax County","NM",0.200457613545361
"Coosa","01037","00161544",44.9,"Coosa County","AL",0.236739921801267
"Escambia","12033","00295737",32.2,"Escambia County","FL",0.09264
"Colusa","06011","01675902",36.8,"Colusa County","CA",0
"Clinch","13065","00351285",43.8,"Clinch County","GA",0
"Osceola","12097","00295748",46.1,"Osceola County","FL",0
"Kiowa","20097","00485013",34.9,"Kiowa County","KS",0.143603378167032
"Lake","30047","01796943",41.9,"Lake County","MT",0.211760184473482
"Dolores","08033","00198132",43.7,"Dolores County","CO",0.208057609964967
"Marion","47115","01639770",39.6,"Marion County","TN",0.240030668127054
"Box Elder","49003","01455966",33.7,"Box Elder County","UT",0
"Bingham","16011","00400593",36.2,"Bingham County","ID",0
"Jeff Davis","48243","01383907",47,"Jeff Davis County","TX",0.33191887675507
"Gloucester","34015","00882277",31.8,"Gloucester County","NJ",0
"Harrison","28047","00695747",28.4,"Harrison County","MS",0.117224880382775
"Murray","13213","01688005",42.2,"Murray County","GA",0.3
"Rensselaer","36083","00974140",40.5,"Rensselaer County","NY",0
"Mitchell","13205","00343645",32.1,"Mitchell County","GA",0
"Jefferson","30043","01720045",43,"Jefferson County","MT",0.119135467534816
"Humboldt","32013","00863310",44.8,"Humboldt County","NV",0
"Franklin","12037","00306911",30.8,"Franklin County","FL",0
"Barber","20007","00484973",39.8,"Barber County","KS",0.03796
"Cherokee","48073","01383822",47.7,"Cherokee County","TX",0.251349303245906
"Powell","30077","01720021",47,"Powell County","MT",0.198363654842972
"Morris","34027","00882231",36.3,"Morris County","NJ",0
"Tulare","06107","00277318",45.3,"Tulare County","CA",0
"Owyhee","16073","00399760",46.7,"Owyhee County","ID",0
"San Luis Obispo","06079","00277304",42.5,"San Luis Obispo County","CA",0
"Cook","13075","00343878",32.9,"Cook County","GA",0
"Los Angeles","06037","00277283",34.4,"Los Angeles County","CA",0
"Simpson","28127","00695784",47.5,"Simpson County","MS",0.33000647488669
"Henry","13151","01671894",36.5,"Henry County","GA",0.2
"Douglas","41019","01135849",50.2,"Douglas County","OR",0.159733865602129
"Somerset","34035","00882234",35.5,"Somerset County","NJ",0
"Onslow","37133","01026341",36.8,"Onslow County","NC",0.02637
"Sarasota","12115","00295741",33.2,"Sarasota County","FL",0.320072627561418
"Taylor","12123","00295728",40.7,"Taylor County","FL",0
"Allendale","45005","01247980",40.9,"Allendale County","SC",0
"Boundary","16021","00395159",49,"Boundary County","ID",0.206084059958852
"Mesa","08077","00198154",45.7,"Mesa County","CO",0.179811187991087
"Walker","01127","00161589",38.1,"Walker County","AL",0.298839977201864
"Crook","41013","01155128",48.4,"Crook County","OR",0.162043841467245
"Saratoga","36091","00974143",39,"Saratoga County","NY",0
"Pickens","13227","01673011",41.3,"Pickens County","GA",0.274926851226649
"Lewis and Clark","30049","00793926",43,"Lewis and Clark County","MT",0.143954949433037
"Cowley","20035","00484987",36.6,"Cowley County","KS",0.100757122932855
"Lake","12069","00308551",37.6,"Lake County","FL",0
"Crisp","13081","00351607",30.9,"Crisp County","GA",0
"Columbia","53013","01513273",34.3,"Columbia County","WA",0.1
"Dixie","12029","00295725",38.3,"Dixie County","FL",0
"Curry","35009","00933053",35.3,"Curry County","NM",0.296513599674422
"Modoc","06049","00277289",44.5,"Modoc County","CA",0.00364
"Dooly","13093","00351608",29,"Dooly County","GA",0.019
"Charleston","45019","01252740",32.9,"Charleston County","SC",0
"Cottle","48101","01383836",43.7,"Cottle County","TX",0
"Cumberland","34011","00882275",29.1,"Cumberland County","NJ",0
"Horry","45051","01248005",32.8,"Horry County","SC",0.00695
"Upshur","48459","01384015",48,"Upshur County","TX",0.0242
"Santa Cruz","06087","00277308",34.7,"Santa Cruz County","CA",0
"Lyon","20111","00485020",32.5,"Lyon County","KS",0.0924313017020063
"Caldwell","37027","01008541",40.8,"Caldwell County","NC",0.1999799959992
"Benton","28009","00695729",34.1,"Benton County","MS",0.45514035321856
"Tift","13277","00344090",31,"Tift County","GA",0
"Cleveland","37045","01008547",40.4,"Cleveland County","NC",0.2
"Silver Bow","30093","01719575",39.5,"Silver Bow County","MT",0.197018691107564
"Mora","35033","01702367",47.1,"Mora County","NM",0.30459982206992
"Rutherford","37161","01008584",39.8,"Rutherford County","NC",0.2
"Pend Oreille","53051","01529157",50.9,"Pend Oreille County","WA",0.26887641763124
"Irion","48235","01383903",51.7,"Irion County","TX",0.00046
"Archer","48009","01383790",41,"Archer County","TX",0.0369126174765047
"Pershing","32027","00858646",41.3,"Pershing County","NV",0
"Umatilla","41059","01156673",38.7,"Umatilla County","OR",0.07817
"Hernando","12053","00295751",34,"Hernando County","FL",0
"Dutchess","36027","00974112",36.5,"Dutchess County","NY",0
"Seminole","12117","00303665",33.5,"Seminole County","FL",0
"Beaufort","45013","01247984",28.7,"Beaufort County","SC",0
