GEOID,Latitude,Longitude,geometry,Gas Production Quantity,Oil Production Quantity,Wind Plant Capacity,Wildfire Hazard Potential Score,Drought Risk Score,County,State,State Name,Pareto Efficient
15001,18.978,-155.688,POINT (-155.688 18.978),0.0,0.0,0.3346448198081723,0.1169999999999999,0.106040655090116,Hawaii County,HI,Hawaii,False
15009,20.8001,-156.539,POINT (-156.539 20.8001),0.0,0.0,0.3346448198081723,0.1,0.181957055214724,Maui County,HI,Hawaii,False
15003,21.6692,-157.9501,POINT (-157.9501 21.6692),0.0,0.0,0.3712597808545589,0.1969999999999999,0.0447017343243758,Honolulu County,HI,Hawaii,False
15003,21.6804,-157.982,POINT (-157.982 21.6804),0.0,0.0,0.3825054106133182,0.1969999999999999,0.0447017343243758,Honolulu County,HI,Hawaii,False
48061,26.1189,-97.3431,POINT (-97.3431 26.1189),0.0,0.0,0.540691461338779,0.103,0.0,Cameron County,TX,Texas,False
48061,26.2499,-97.5118,POINT (-97.5118 26.2499),0.0,0.0,0.6423377638664154,0.103,0.0,Cameron County,TX,Texas,False
48061,26.2736,-97.4961,POINT (-97.4961 26.2736),0.0,0.0,0.5986711578063881,0.103,0.0,Cameron County,TX,Texas,False
48215,26.3767,-97.993,POINT (-97.993 26.3767),0.0,0.0,0.6687117599936161,0.168,0.0,Hidalgo County,TX,Texas,False
48215,26.47058104,-98.41340104,POINT (-98.41340104 26.47058104),0.4593684940589344,0.0,0.0,0.168,0.0,Hidalgo County,TX,Texas,False
48427,26.4905,-98.7305,POINT (-98.7305 26.4905),0.0,0.0,0.6444896541079361,0.33,0.0,Starr County,TX,Texas,False
48215,26.5381,-98.3375,POINT (-98.3375 26.5381),0.0,0.0,0.5473416939016906,0.168,0.0,Hidalgo County,TX,Texas,False
48427,26.5482,-98.7101,POINT (-98.7101 26.5482),0.0,0.0,0.6433831450052341,0.33,0.0,Starr County,TX,Texas,False
48505,26.6614,-99.0901,POINT (-99.0901 26.6614),0.0,0.0,0.6444896541079361,0.181,0.0,Zapata County,TX,Texas,False
48261,26.9771,-97.6746,POINT (-97.6746 26.9771),0.0,0.0,0.6440757406177209,0.144,0.0,Kenedy County,TX,Texas,False
48261,27.01652802,-97.85367897,POINT (-97.85367897 27.01652802),0.5074634197582767,0.0,0.0,0.144,0.0,Kenedy County,TX,Texas,False
48505,27.0979,-99.3451,POINT (-99.3451 27.0979),0.0,0.0,0.6497617109705169,0.181,0.0,Zapata County,TX,Texas,False
48261,27.1246,-97.4706,POINT (-97.4706 27.1246),0.0,0.0,0.6447649159910247,0.144,0.0,Kenedy County,TX,Texas,False
48479,27.3115,-98.9772,POINT (-98.9772 27.3115),0.0,0.0,0.674385619830713,0.1009999999999999,0.02862,Webb County,TX,Texas,False
